prob,school,team_rating,region,seed,round
0.484987486,Kentucky,91.23,East,2,3
0.509311113,Arizona,91.39,South,1,3
0.488051486,Auburn,89.6,Midwest,2,3
0.402191266,Villanova,90.22,South,2,3
0.315936117,Purdue,89.44,East,3,3
0.286175912,Iowa,88.55,Midwest,5,3
0.323322934,Tennessee,88.55,South,3,3
0.375858557,UCLA,89.84,East,4,3
0.214758998,Houston,88.15,South,5,3
0.377252101,Duke,89.34,West,2,3
0.3682348,Texas Tech,88.7,West,3,3
0.355954628,Baylor,87.92,East,1,3
0.178281907,Illinois,87.07,South,4,3
0.15547226,Louisiana State,85.72,Midwest,6,3
0.07965589,Arkansas,86.78,West,4,3
0.212510353,Wisconsin,84.64,Midwest,3,3
0.079300288,Texas,86.31,East,6,3
0.08310251,Connecticut,86.45,West,5,3
0.106832071,Alabama,85.15,West,6,3
0.108824889,Michigan,84.73,South,11,3
0.063122207,Virginia Tech,84.68,East,11,3
0.085789085,North Carolina,83.99,East,8,3
0.07832736,Ohio State,84.17,South,7,3
0.034682897,Memphis,85.47,West,9,3
0.087836462,Saint Mary's (CA),84.32,East,5,3
0.056910521,Loyola (IL),83.7,South,10,3
0.06045088,Providence,82.72,Midwest,4,3
0.042059758,Indiana,83.01,East,12b,3
0.057789042,Michigan State,83.49,West,7,3
0.044236162,San Diego State,83.49,Midwest,8,3
0.054936443,Southern California,83.43,Midwest,7,3
0.034635906,Texas Christian,81.92,South,9,3
0.029610786,Seton Hall,82.84,South,8,3
0.042402096,Marquette,81.92,East,9,3
0.02409789,Boise State,82.49,West,8,3
0.031047826,Creighton,81.49,Midwest,9,3
0.029167818,Murray State,81.37,East,7,3
0.044407088,Davidson,81.92,West,10,3
0.022885266,Alabama-Birmingham,81.15,South,12,3
0.024830761,San Francisco,83,East,10,3
0.037721401,Miami (FL),81.16,Midwest,10,3
0.041965192,Iowa State,80.59,Midwest,11,3
0.028091699,Colorado State,81.65,South,6,3
0.025894101,Notre Dame,81.64,West,11b,3
0.016510775,Rutgers,81.12,West,11a,3
0.018254152,Richmond,79.71,Midwest,12,3
0.01761775,South Dakota State,79.68,Midwest,13,3
0.009427243,Vermont,80.32,West,13,3
0.009648179,Chattanooga,78.68,South,13,3
0.005219293,Wyoming,78.49,East,12a,3
0.002599587,New Mexico State,77.67,West,12,3
0.007143304,Colgate,76.39,Midwest,14,3
