gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/13/22,0,1,0.329911594,0.130069377,0.041965192,0.011479096,0.003233926,0.000795767,1,1,66,Iowa State,80.59,Midwest,11,82
mens,3/13/22,0,1,0.310156129,0.083674123,0.028091699,0.008335696,0.002680799,0.000738776,1,1,36,Colorado State,81.65,South,6,112
mens,3/13/22,1,0.561828015,0.219849958,0.067070823,0.025894101,0.004888704,0.001789276,0.000661385,0,1,87,Notre Dame,81.64,West,11b,19
mens,3/13/22,1,0.438171985,0.159289898,0.045346026,0.016510775,0.002920723,0.001022589,0.000363152,0,1,164,Rutgers,81.12,West,11a,18
mens,3/13/22,0,1,0.189383208,0.088067866,0.018254152,0.005731522,0.001501168,0.000344631,1,1,257,Richmond,79.71,Midwest,12,74
mens,3/13/22,0,1,0.335012301,0.081031126,0.01761775,0.005758943,0.001486805,0.000336694,1,1,2571,South Dakota State,79.68,Midwest,13,78
mens,3/13/22,0,1,0.281590341,0.100518048,0.009427243,0.002804777,0.00077579,0.000222631,1,1,261,Vermont,80.32,West,13,14
mens,3/13/22,0,1,0.184791089,0.049663275,0.009648179,0.002595951,0.000718199,0.000170747,1,1,236,Chattanooga,78.68,South,13,110
mens,3/13/22,1,0.243169437,0.074813881,0.016997112,0.005219293,0.001158759,0.000242621,7.17E-05,0,1,2751,Wyoming,78.49,East,12a,42
mens,3/13/22,0,1,0.13560995,0.030260705,0.002599587,0.000721287,0.000163882,3.93E-05,1,1,166,New Mexico State,77.67,West,12,10
mens,3/13/22,0,1,0.151334817,0.036549027,0.007143304,0.00119313,0.000216842,3.52E-05,1,1,2142,Colgate,76.39,Midwest,14,86
mens,3/13/22,0,1,0.073944925,0.016367268,0.004259767,0.000801149,0.000117656,2.55E-05,1,1,2006,Akron,76.67,East,13,46
mens,3/13/22,0,1,0.045214754,0.01201391,0.001430404,0.00025297,2.88E-05,4.97E-06,1,1,2612,Saint Peter's,74.19,East,15,62
mens,3/13/22,0,1,0.054518929,0.008014949,0.001224919,0.000282771,2.97E-05,4.77E-06,1,1,43,Yale,74.44,East,14,54
mens,3/13/22,0,1,0.073151065,0.014797948,0.002654866,0.000223877,3.08E-05,4.65E-06,1,1,147,Montana State,74.31,West,14,22
mens,3/13/22,0,1,0.05386351,0.013302548,0.002199561,0.000242631,3.53E-05,4.62E-06,1,1,55,Jacksonville State,73.16,Midwest,15,94
mens,3/13/22,1,0.6860218,0.023401577,0.005165948,0.000708928,0.000108588,1.74E-05,2.42E-06,0,1,2750,Wright State,73.5,South,16a,98
mens,3/13/22,0,1,0.061591994,0.010298501,0.00119568,0.000127343,1.83E-05,2.30E-06,1,1,2344,Longwood,73.41,South,14,118
mens,3/13/22,0,1,0.051714278,0.0085572,0.00113565,0.000120359,1.70E-05,2.10E-06,1,1,48,Delaware,73.58,South,15,126
mens,3/13/22,0,1,0.011684497,0.001591686,0.000255964,3.58E-05,5.63E-06,9.60E-07,1,1,2247,Georgia State,73.48,West,16,2
mens,3/13/22,0,1,0.03560685,0.004657185,0.000620354,6.18E-05,4.59E-06,5.35E-07,1,1,2450,Norfolk State,71.42,East,16,34
mens,3/13/22,1,0.639565911,0.018687936,0.003190761,0.000335814,3.68E-05,4.31E-06,4.58E-07,0,1,2640,Texas Southern,70.37,Midwest,16a,66
mens,3/13/22,0,1,0.029084187,0.003116933,0.000425157,2.93E-05,2.91E-06,3.23E-07,1,1,2239,Cal State Fullerton,71.79,West,15,30
mens,3/13/22,1,0.3139782,0.008237328,0.001467776,0.000158915,1.94E-05,2.49E-06,2.80E-07,0,1,2803,Bryant,71.56,South,16b,99
mens,3/13/22,1,0.360434089,0.00663907,0.000758548,5.46E-05,4.12E-06,3.30E-07,2.43E-08,0,1,357,Texas A&M-Corpus Christi,67.32,Midwest,16b,67
