gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/17/25,0,1,0.598570805,0.344583293,0.153937605,0.05882068,0.019891752,0.007437369,1,1,2390,Illinois,81.16,Midwest,6,90
mens,3/17/25,1,0.362555401,0.128095798,0.057871413,0.019105717,0.005344483,0.001872852,0.000722881,0,1,66,Texas,80.59,Midwest,11a,82
mens,3/17/25,1,0.637444599,0.273333397,0.14247108,0.058542585,0.02050049,0.006223643,0.002112723,0,1,36,Xavier,81.65,Midwest,11b,112
mens,3/17/25,0,1,0.837735324,0.422723313,0.185249166,0.069371646,0.023176264,0.008571713,1,1,87,Kentucky,81.64,Midwest,3,19
mens,3/17/25,0,1,0.162264676,0.032350901,0.005763076,0.000867321,0.000138038,0.0000261,1,1,164,Troy,81.12,Midwest,14,18
mens,3/17/25,0,1,0.635034575,0.177178493,0.075905969,0.02278373,0.007499815,0.002737289,1,1,257,UCLA,79.71,Midwest,7,74
mens,3/17/25,0,1,0.364965425,0.073653203,0.024124084,0.005436826,0.001335546,0.000374719,1,1,2571,Utah St.,79.68,Midwest,10,78
mens,3/17/25,0,1,0.934335242,0.731956838,0.474293244,0.231192567,0.104807877,0.050847208,1,1,261,Tennessee,80.32,Midwest,2,14
mens,3/17/25,0,1,0.065664758,0.017211467,0.003078554,0.00037732,0.0000459,0.00000679,1,1,236,Wofford,78.68,Midwest,15,110
mens,3/17/25,0,1,0.985149841,0.869084191,0.709958849,0.512996173,0.307318498,0.185028452,1,1,2751,Duke,78.49,East,1,42
mens,3/17/25,1,0.473677611,0.006808644,0.000982676,0.000144168,0.0000161,0.00000128,0.000000114,0,1,166,American,77.67,East,16a,10
mens,3/17/25,1,0.526322389,0.008041515,0.001216483,0.000190671,0.0000227,0.00000191,0.000000179,0,1,2142,Mount St. Mary's (MD),76.39,East,16b,86
mens,3/17/25,0,1,0.472177692,0.058352249,0.026847951,0.0096174,0.00305248,0.001000136,1,1,2006,Mississippi St.,76.67,East,8,46
mens,3/17/25,0,1,0.527822308,0.070364402,0.034310701,0.013103788,0.005056345,0.001995705,1,1,2612,Baylor,74.19,East,9,62
mens,3/17/25,0,1,0.739728201,0.339904557,0.062337946,0.021888559,0.006902918,0.002247935,1,1,43,Oregon,74.44,East,5,54
mens,3/17/25,0,1,0.260271799,0.070671417,0.011266695,0.003533935,0.000834713,0.000206511,1,1,147,Liberty,74.31,East,12,22
mens,3/17/25,0,1,0.884390739,0.561772483,0.152105341,0.071699647,0.031674042,0.014223513,1,1,55,Arizona,73.16,East,4,94
mens,3/17/25,0,1,0.115609261,0.027651543,0.002837678,0.000614513,0.000101066,0.0000178,1,1,2750,Akron,73.5,East,13,98
mens,3/17/25,0,1,0.59867516,0.328878341,0.127463389,0.037218418,0.014228268,0.005566272,1,1,2344,BYU,73.41,East,6,118
mens,3/17/25,0,1,0.40132484,0.188507266,0.080936962,0.026308038,0.009073486,0.003218406,1,1,48,VCU,73.58,East,11,126
mens,3/17/25,0,1,0.897771273,0.468168266,0.206645726,0.069174249,0.027116595,0.010864159,1,1,2247,Wisconsin,73.48,East,3,2
mens,3/17/25,0,1,0.102228727,0.014446127,0.001591269,0.000133061,0.0000161,0.00000212,1,1,2450,Montana,71.42,East,14,34
mens,3/17/25,0,1,0.686372708,0.22347414,0.104725123,0.03027673,0.011460795,0.004441683,1,1,2640,Saint Mary's (CA),70.37,East,7,66
mens,3/17/25,0,1,0.313627292,0.06535488,0.020694179,0.0039118,0.000941664,0.000237197,1,1,2239,Vanderbilt,71.79,East,10,30
mens,3/17/25,0,1,0.927281033,0.693174667,0.454602305,0.199115152,0.102721467,0.053520082,1,1,2803,Alabama,71.56,East,2,99
mens,3/17/25,0,1,0.072718967,0.017996314,0.003341046,0.000369746,0.0000466,0.00000637,1,1,357,Robert Morris,67.32,East,15,67
