gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/15/26,0,1,0.43723,0.11499,0.03568,0.00649,0.00151,0.00034,,1,TEX,Texas,1841.699951,West,11,
mens,3/15/26,0,1,0.97007,0.72562,0.36792,0.13334,0.05422,0.02291,,1,GNZ,Gonzaga,2037.300049,West,3,
mens,3/15/26,0,1,0.02993,0.00303,0.00016,0,0,0,,1,KNS,Kennesaw St.,1530.400024,West,14,
mens,3/15/26,0,1,0.53694,0.13756,0.05573,0.01227,0.0036,0.00114,,1,MFL,U Miami (FL),1889.699951,West,7,
mens,3/15/26,0,1,0.46306,0.1114,0.03895,0.00754,0.00203,0.00039,,1,MIZ,Missouri,1796.199951,West,10,
mens,3/15/26,0,1,0.97808,0.74918,0.46165,0.17945,0.08688,0.04142,,1,PUR,Purdue,2091.199951,West,2,
mens,3/15/26,0,1,0.02192,0.00186,0.00015,1.00E-05,0,0,,1,QUE,Queens,1478.599976,West,15,
mens,3/15/26,0,1,0.9545,0.80345,0.61135,0.39079,0.22255,0.12432,,1,UM,Michigan,2234.899902,Midwest,1,
mens,3/15/26,0,1,0.01921,0.0029,0.00027,2.00E-05,0,0,,1,HOW,Howard,1462.199951,Midwest,16,
mens,3/15/26,0,1,0.57429,0.11502,0.04577,0.01354,0.0035,0.00076,,1,UGA,Georgia,1880,Midwest,8,
mens,3/15/26,0,1,0.42571,0.07174,0.02659,0.00686,0.00141,0.00035,,1,STL,Saint Louis,1835.900024,Midwest,9,
mens,3/15/26,0,1,0.63431,0.16894,0.03196,0.00792,0.0015,0.00032,,1,TTC,Texas Tech,1972.199951,Midwest,5,
mens,3/15/26,0,1,0.36569,0.06719,0.00876,0.00149,0.00023,4.00E-05,,1,AKR,Akron,1739.300049,Midwest,12,
mens,3/15/26,0,1,0.89964,0.72645,0.26986,0.12198,0.04811,0.01925,,1,ALA,Alabama,1972.5,Midwest,4,
mens,3/15/26,0,1,0.10036,0.03742,0.00425,0.00064,8.00E-05,1.00E-05,,1,HOF,Hofstra,1694.5,Midwest,13,
mens,3/15/26,0,1,0.80984,0.3981,0.15379,0.05844,0.02146,0.00801,,1,TEN,Tennessee,1981.199951,Midwest,6,
mens,3/15/26,0,1,0.128,0.02,0.002,0,0,0,,1,MOH,Miami University (OH),1655,Midwest,11,
mens,3/15/26,0,1,0.94306,0.54672,0.21477,0.08335,0.03149,0.01207,,1,UVA,Virginia,2015.300049,Midwest,3,
mens,3/15/26,0,1,0.05694,0.00611,0.00041,3.00E-05,0,0,,1,WRI,Wright St.,1534.900024,Midwest,14,
mens,3/15/26,0,1,0.65761,0.20038,0.09553,0.03303,0.01167,0.00418,,1,UK,Kentucky,1931.699951,Midwest,7,
mens,3/15/26,0,1,0.34239,0.06772,0.02352,0.00579,0.00126,0.00032,,1,SCL,Santa Clara,1866.5,Midwest,10,
mens,3/15/26,0,1,0.97405,0.72966,0.50117,0.27353,0.14218,0.07261,,1,ISU,Iowa St.,2145.800049,Midwest,2,
mens,3/15/26,0,1,0.02595,0.00224,0.00018,1.00E-05,0,0,,1,TST,Tennessee St.,1499.900024,Midwest,15,
